朝代;年;月;公历年;季;衙门;官职;官职简写;官员;品级;身份;名;又名;民族;旗分;旗分（或）;爵位;科举;科举（其他）
嘉庆;七;七;1802;2;刑部;刑部侍郎;侍郎;侍郎;正二;;穆克登额;;满洲;镶蓝;;亲军授笔帖式;笔帖式;亲军授笔帖式
嘉庆;十三;六;1808;2;刑部;刑部侍郎;侍郎;侍郎;正二;;崇禄;;满洲;镶白;;;监生;
嘉庆;十六;十二;1811;4;刑部;刑部侍郎;侍郎;侍郎;正二;;贵庆;;满洲;镶白;;;进士;
嘉庆;二十;八;1815;3;刑部;刑部侍郎;侍郎;侍郎;正二;;永祚;;满洲;镶白;;;笔帖式;
嘉庆;二十一;十;1816;3;刑部;刑部侍郎;侍郎;侍郎;正二;;恩宁;恩铭;满洲;正红;;;进士;
嘉庆;二十三;十一;1818;4;刑部;刑部侍郎;侍郎;侍郎;正二;;瑞麟;;满洲;正蓝;;;文生员;
嘉庆;二十五;六;1820;2;刑部;刑部侍郎;侍郎;侍郎;正二;觉罗;承光;承恩;满洲;镶黄;;;;
道光;一;;1821;;刑部;刑部侍郎;侍郎;侍郎;正二;;龄椿;同龄;满洲;镶红;;;翻译进士;
道光;;;;;刑部;刑部侍郎;侍郎;侍郎;正二;觉罗;承光;;满洲;镶黄;;;;
道光;一;六;1821;2;刑部;刑部侍郎;侍郎;侍郎;正二;;同麟;;满洲;镶红;;;翻译进士;
道光;四;闰七;1824;2;刑部;刑部侍郎;侍郎;侍郎;正二;;多福;;满洲;正红;;;;
道光;四;闰七;1824;2;刑部;刑部侍郎;侍郎;侍郎;正二;;升寅;;满洲;镶黄;;;;
道光;五;三;1825;1;刑部;刑部侍郎;侍郎;侍郎;正二;;武忠额;;满洲;正白;;;进士;
道光;八;十一;1828;4;刑部;刑部侍郎;侍郎;侍郎;正二;;特登额;;满洲;镶红;;;进士;
道光;十;七;1860;2;刑部;刑部侍郎;侍郎;侍郎;正二;;惠显;;满洲;镶黄;;;生员;
道光;十一;二;1831;1;刑部;刑部侍郎;侍郎;侍郎;正二;;鄂顺安;;满洲;正红;;;翻译生员;
道光;十一;七;1831;2;刑部;刑部侍郎;侍郎;侍郎;正二;;凯音布;;满洲;镶黄;;;进士;
道光;十一;九;1831;3;刑部;刑部侍郎;侍郎;侍郎;正二;;裕泰;;满洲;镶红;;;;
道光;十二;一;1832;4;刑部;刑部侍郎;侍郎;侍郎;正二;;常文;;满洲;正蓝;;;贡生;
道光;十二;二;1832;1;刑部;刑部侍郎;侍郎;侍郎;正二;宗室;祥康;;满洲;正蓝;;;;
道光;十四;五;1834;2;刑部;刑部侍郎;侍郎;侍郎;正二;;贵庆;;满洲;镶白;;;进士;
道光;十五;九;1835;3;刑部;刑部侍郎;侍郎;侍郎;正二;;特登额;;满洲;正红;;;进士;
道光;十五;十;1835;3;刑部;刑部侍郎;侍郎;侍郎;正二;;富呢扬阿;;满洲;镶红;;;举人;
道光;十五;十;1835;3;刑部;刑部侍郎;侍郎;侍郎;正二;;鄂顺安;;满洲;正红;;;翻译生员;
道光;十六;十;1836;3;刑部;刑部侍郎;侍郎;侍郎;正二;;惠吉;;满洲;镶黄;;;荫生;
道光;十八;闰四;1838;1;刑部;刑部侍郎;侍郎;侍郎;正二;;松峻;;满洲;正黄;;;进士;
道光;十九;三;1839;1;刑部;刑部侍郎;侍郎;侍郎;正二;;明训;;蒙古;正黄;;;进士;
道光;二十;一;1840;4;刑部;刑部侍郎;侍郎;侍郎;正二;宗室;惟勤;;满洲;镶蓝;;;进士;
道光;二十;十二;1840;4;刑部;刑部侍郎;侍郎;侍郎;正二;宗室;成刚;;满洲;镶蓝;;;笔帖式;
道光;二十二;一;1842;4;刑部;刑部侍郎;侍郎;侍郎;正二;;惠丰;;满洲;镶黄;;;荫生;官学生
道光;二十二;十一;1842;4;刑部;刑部侍郎;侍郎;侍郎;正二;宗室;讷勒亨额;;满洲;正蓝;;;进士;
道光;二十三;四;1843;1;刑部;刑部侍郎;侍郎;侍郎;正二;;庚福;;满洲;镶蓝;;;荫生;
道光;二十三;闰七;1843;2;刑部;刑部侍郎;侍郎;侍郎;正二;;斌良;;满洲;正红;;;荫生;
道光;二十四;二;1844;1;刑部;刑部侍郎;侍郎;侍郎;正二;觉罗;德厚;德宁;满洲;正红;;;进士;
道光;二十七;十二;1847;4;刑部;刑部侍郎;侍郎;侍郎;正二;;桂德;;满洲;镶蓝;;;文生;
道光;二十八;十;1848;3;刑部;刑部侍郎;侍郎;侍郎;正二;;毓书;;满洲;正红;;;举人;
道光;二十九;;1849;;刑部;刑部侍郎;侍郎;侍郎;正二;宗室;绵森;;满洲;正蓝;;;;
道光;二十九;六;1849;2;刑部;刑部侍郎;侍郎;侍郎;正二;;景淳;景纶;汉军;正黄;;印务章京;荫生;
咸丰;三;一;1853;4;刑部;刑部侍郎;侍郎;侍郎;正二;;书元;;满洲;镶蓝;;;;
咸丰;九;;1859;;刑部;刑部侍郎;侍郎;侍郎;正二;;文俊;;蒙古;镶黄;;;;护军
咸丰;十一;十;1861;3;刑部;刑部侍郎;侍郎;侍郎;正二;;清安;;满洲;镶蓝;;;翻译进士;
光绪;四;;1878;;刑部;刑部侍郎;侍郎;侍郎;正二;宗室;岐元;;满洲;正红;;;笔帖式;四品宗室补宗人府效力笔帖式
光绪;二十五;;1899;;刑部;刑部侍郎;侍郎;侍郎;正二;;清锐;清安;蒙古;镶黄;;;翻译进士;
光绪;二十五;十;1899;3;刑部;刑部侍郎;侍郎;侍郎;正二;宗室;溥颋;;满洲;镶红;;;举人;
光绪;二十九;一;1903;4;刑部;刑部侍郎;侍郎;侍郎;正二;;儒林;;满洲;镶蓝;;;翻译进士;
顺治;十六;六;1659;2;工部;工部侍郎;侍郎;侍郎;正二;;努山;;满洲;正白;;;;
康熙;七;五;1668;2;工部;工部侍郎;侍郎;侍郎;正二;;敖塞;;满洲;正蓝;;;;
康熙;十六;一;1677;4;工部;工部侍郎;侍郎;侍郎;正二;觉罗;沙赍;沙赖;满洲;镶蓝;;;;
康熙;十九;一;1680;4;工部;工部侍郎;侍郎;侍郎;正二;;廖旦;寥旦;满洲;正白;;;;
康熙;二十六;三;1687;1;工部;工部侍郎;侍郎;侍郎;正二;;图尔臣;图尔宸;满洲;正白;;;;
康熙;三十;十一;1691;4;工部;工部侍郎;侍郎;侍郎;正二;;星安;兴安;满洲;镶黄;;;;
