朝代;年;月;公历年;季;衙门;官职;官职简写;官员;品级;身份;名;又名;民族;旗分;旗分（或）;爵位;科举;科举（其他）
同治;;;;;户部;户部侍郎;侍郎;侍郎;正二;;宝珣;;满洲;镶黄;;;进士;
同治;八;;1869;;户部;户部侍郎;侍郎;侍郎;正二;宗室;麟书;;满洲;正蓝;;;进士;
同治;十;五;1871;2;户部;户部侍郎;侍郎;侍郎;正二;宗室;瑞联;;满洲;正蓝;;;进士;
同治;十二;四;1873;1;户部;户部侍郎;侍郎;侍郎;正二;;志和;;满洲;正蓝;;;进士;
光绪;一;;1875;;户部;户部侍郎;侍郎;侍郎;正二;;崇实;;满洲;镶黄;;;进士;
光绪;八;五;1882;2;户部;户部侍郎;侍郎;侍郎;正二;;启秀;;满洲;正白;正红;;进士;
光绪;十四;三;1888;1;户部;户部侍郎;侍郎;侍郎;正二;宗室;绵宜;;满洲;镶白;正蓝;;进士;
光绪;二十一;三;1895;1;户部;户部侍郎;侍郎;侍郎;正二;;良弼;;满洲;正白;;;进士;
光绪;二十七;;1901;;户部;户部侍郎;侍郎;侍郎;正二;;萨廉;;满洲;镶蓝;;;进士;
光绪;三十;十一;1904;4;户部;户部侍郎;侍郎;侍郎;正二;;廷杰;;满洲;正白;;;进士;
