季节;朝代;年;公历年;季;衙门;官职;官职简写;官员;品级;身份;名;民族;旗分;爵位;科举
春;光绪;三十二;1906;1;副都统;吉林副都统;副都统;镇守吉林地方副都统;从二;;成勳;汉军;正黄;;
春;光绪;三十二;1906;1;副都统;珲春副都统;副都统;镇守珲春地方副都统;从二;;恒春;;;;
春;光绪;三十二;1906;1;副都统;布哈特副都统;副都统;镇守布特哈副都统;从二;;双福;;;;
冬;光绪;三十三;1907;4;副都统;吉林副都统;副都统;镇守吉林地方副都统;从二;;成勳;汉军;正黄;;
冬;光绪;三十三;1907;4;副都统;珲春副都统;副都统;镇守珲春地方副都统;从二;;恒春;;;;
冬;宣统;三;1911;4;副都统;盛京副都统;副都统;镇守盛京等处副都统;从二;宗室;德裕;满洲;;;
秋;乾隆;三十八;1773;3;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;福珠里;满洲;镶蓝;;
秋;乾隆;三十八;1773;3;副都统;三姓副都统;副都统;镇守三姓地方副都统;从二;;舒通阿;满洲;正白;;
秋;乾隆;三十八;1773;3;副都统;墨尔根城副都统;副都统;镇守墨尔根副都统;从二;;舒通阿;满洲;镶蓝;;
秋;乾隆;五十;1785;3;副都统;齐齐哈尔副都统;副都统;镇守齐齐哈尔等处副都统;从二;;官褔;满洲;镶白;;
春;乾隆;五十一;1786;1;副都统;吉林副都统;副都统;镇守吉林地方副都统;从二;;索柱;满洲;正黄;;
秋;乾隆;四十二;1777;3;将军衙门;黑龙江将军;将军;镇守黑龙江齐齐哈尔等处将军;从一;;傅玉;满洲;镶黄;;
秋;嘉庆;十七;1812;3;将军衙门;吉林将军;将军;镇守吉林乌喇等处将军;从一;;赛冲阿;满洲;正蓝;;
春;嘉庆;二十二;1817;1;将军衙门;吉林将军;将军;镇守吉林乌喇等处将军;从一;;富俊;蒙古;正黄;;
冬;嘉庆;二十二;1817;4;将军衙门;盛京将军;将军;镇守盛京地方统领满兵将军;从一;;富俊;蒙古;正黄;;
